Bayi Kodu,Ünvan,Bölge,Mıntıka,ADRES,İL,İLÇE
30071557,STARK ENERJİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ,GUNEYDOGU ANADOLU,Kahramanmaraş,ALİBEYLİ MAH. MUSA ŞAHİN BLV. NO:216,Osmaniye,MERKEZ
30072731,DOĞAN ERTEN AKARYAKIT İNŞAAT TİCARET LİM İTED ŞİRKETİ  .,GUNEYDOGU ANADOLU,Hatay,İSMET İNÖNÜ MAHALLESİ İBRAHİM KARAOĞLANOĞLU CADDESİ NO:125,Hatay,İSKENDERUN
30071673,ELC AKARYAKIT ÜRÜNLERİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ,GUNEYDOGU ANADOLU,Malatya,ŞİFA MAH. BUHARA CAD. NO:233/A,Malatya,BATTALGAZİ
30070829,GAZİANTEP ORGANİZE SANAYİ BÖLGESİ MÜDÜRL ÜĞÜ  .,GUNEYDOGU ANADOLU,Gaziantep,1.ORGANİZE SANAYİ BÖLGESİ 20 NO`LU CADDE NO:7,Gaziantep,MERKEZ
30075276,MERSİN ÜNAL PET. ÜRÜNL.NAK. TURİZM GIDA MEDİKAL SAN.VE TİC. LTD ŞTİ,AKDENIZ,Adana,SERİNEVLER MAHALLESİ MUSTAFA KEMAL PAŞA BULVARI NO:91/Z01 AD,Adana,YÜREĞİR
30070637,ÇAĞLAR İNŞAAT YAPI MALZEMELERİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ  .,AKDENIZ,Adana,TURGUT OZAL BULV.NO:249/A,Adana,MERKEZ
30070881,GÖZENLER PETROL ÜRÜNLERİ SANAYİ VE TİCAR ET LİMİTED ŞİRKETİ  .,AKDENIZ,Mersin,BARBAROS MAHALLESİ SAİT POLAT BULVARI NO:78A,İçel,TARSUS
30070807,AÇILIM İNŞAAT TİCARET VE SANAYİ LİMİTED ŞİRKETİ  .,GUNEYDOGU ANADOLU,Malatya,CUMHURİYET MAHALLESİ MALATYA CADDESİ NO:2,Elazığ,MERKEZ
30075165,ÇAĞAN AKARYAKIT İNŞAAT OTOMOTİV GIDA TİC ARET PAZARLAMA VE SANAYİ LİMİTED ŞİRKETİ  .,GUNEYDOGU ANADOLU,Hatay,DEREBAHÇE MAH. GİRNE CAD. NO:28,Hatay,BELEN
30074597,MDX FİLO AKARYAKIT BİL.DAN.İTH.İHR.SAN. VE TİC. LTD.ŞTİ  .,AKDENIZ,Adana,CEMALPAŞA MAH. CEVAT YURDAKUL CAD. NO:8/A,Adana,SEYHAN
30070957,PEKEL PETROL ÜRÜNLERİ DEPOLAMA TAŞIMA TU RİZM İNŞAAT VE İNŞAAT MALZEMELERİ GIDA M ADDELERİ TEKSTİL SANAYİ VE TİCARET LİMİT ED ŞİRKETİ,GUNEYDOGU ANADOLU,Malatya,MALATYA-ANKARA ASFALTI 6. KM. KARAKAVAK MEVKİİ (AFRA YANI),Malatya,MERKEZ
30073730,CEYSLER PETROL SANAYİ VE TİCARET LİMİTED ŞİRKETİ  .,GUNEYDOGU ANADOLU,Gaziantep,KOLAJTEPE MAH. İNÖNÜ CAD. NO:50,Gaziantep,ŞAHİNBEY
30071778,KAYTANOĞULLARI PETROL OTOMOTİV MARKETÇİL İK TARIM ÜRÜNLERİ HARİTA EMLAK İNŞAAT NA KLİYAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ .,AKDENIZ,Adana,YAVUZLAR MAH.HACI SABANCI BUL.NO:256,Adana,YÜREĞİR
30082118,ÜSTBİRLİK AKARYAKIT İNŞ.TUR.OTOM.TAŞ GID.SAN.TİC.LTD.ŞTİ.,AKDENIZ,Adana,SAKARYA MAHALLESI TURHAN CEMAL BERIKER BULVARI NO.186/4,Adana,SEYHAN
30084458,DUMAN GRUP AKARYAKIT SANAYİ VE TİCARET LİMİTED ŞİRKETİ,AKDENIZ,Mersin,"SAĞLIK MAHALLESİ, GAZİ MUSTAFA KEMAL_1 BULVARI NO 122",İçel,TOROSLAR
30071954,PEKEL PETROL ÜRÜNLERİ DEPOLAMA TAŞIMACIL IK TURİZM İNŞAAT MALZEMELERİ GIDA MADDEL ERİ TEKSTİL SANAYİ VE TİCARET LİMİTED Şİ RKETİ,GUNEYDOGU ANADOLU,Malatya,ÜÇBAĞLAR MAH. SİVAS CAD. NO:95-A,Malatya,BATTALGAZİ
30075564,ÖDÜL PETROL İNŞAAT NAKLİYAT SANAYİ VE Tİ C.LTD.ŞTİ.  .,AKDENIZ,Adana,YÜZÜNCÜYIL MAH. DR. SADIK AHMET BLV. NO:69 ADANA  ADANA,Adana,ÇUKUROVA
30073369,AKKOYUNLU AKARYAKIT TİCARET LİMİTED ŞİRK ETİ  .,GUNEYDOGU ANADOLU,Hatay,NUMUNE EVLER MAH.İNÖNÜ CAD.NO:5/C,Hatay,DÖRTYOL
30070877,SALİH ARUNDAR   .,AKDENIZ,Mersin,FERAHİM ŞALVUZ MAH. SAİT POLAT BUL. NO:331 A,İçel,TARSUS
30074931,BEYPET LOJİSTİK ULUSNAK.PET.ÜR.GD.İNŞ.KU İÇ VE DIŞ TİC.LT.ŞT.  .,AKDENIZ,Mersin,KOCAHASANLI MAHALLESİ ATATÜRK BULVARI NO:16/A,İçel,ERDEMLİ
30070794,TUNÇ GÜNEŞ PETROL OTOMOTİV İNŞ. NAK. TURİZM TİC. VE SAN LTD. ŞTİ.,GUNEYDOGU ANADOLU,Diyarbakır,ELAZIĞ YOLU 1.KM SANAYI CAMI KARSISI,Diyarbakır,MERKEZ
30072239,BAŞARAN PETROLCÜLÜK TURİZM İNŞAAT NAKLİY E SANAYİ VE TİCARET LİMİTED ŞİRKETİ,GUNEYDOGU ANADOLU,Diyarbakır,ELAZIĞ CADDESİ CUMHURİYET GARAJI BİTİŞİĞİ NO:74,Diyarbakır,MERKEZ
